layer,neuron,score,explanation
0,286,0.663509473, words related to comparison.
0,615,0.551089291, words and phrases related to animals and their environments.
0,1571,0.375781556,words related to processes or actions.
0,494,0.673055724,words and phrases related to care and caregiving.
0,525,0.536261839,words and phrases related to surprise or shocking situations.
0,1569,0.47418803,words and phrases related to sci-fi settings and elements.
0,546,0.536638071, words related to commerce and retail.
0,1627,0.459449334," sequences of numbers, including decimals, percentages, and timestamps."
0,903,0.753332213,words related to effectiveness and measurements.
0,829,0.352871865, instances of citing and providing information in a report-like context.
0,824,0.825012545, words and phrases related to water and water-based activities.
0,512,0.662197707, words related to returning or coming back.
0,633,0.395597784, situations and actions related to visiting people or places.
0,1842,0.555308435, words related to social gatherings and events.
0,434,0.638328074,"words related to ash, locks, and the action of killing."
0,600,0.716411558,words related to enclosures or surrounded areas.
0,938,0.754838257, words related to political or financial centers.
0,1412,0.622618001, time zones and abbreviations related to time.
0,1356,0.642126036,"words and phrases related to significant differences, comparisons, and measurements."
0,1941,0.48239797, names of countries and geographical locations.
1,850,0.598155829,military ranks and titles.
1,1021,0.560973691, words related to minority groups and feelings of oppression or marginalization.
1,1853,0.917250993, words related to invitations and being invited.
1,1523,0.625278573," words related to the color blue, specifically variants of the word 'cyan'."
1,861,0.612921229,words related to breaking or destroying.
1,1734,0.861976121,"words or word parts connected to ""eded"" or ""eding."""
1,31,0.567039741,words related to cleanliness or making something clean.
1,1320,0.679474283, words related to creativity.
1,1846,0.6963652,names of cities and sports-related terms.
1,1527,0.408668718," words and phrases related to locations, directions, and environmental conditions."
1,746,0.353557565,instances related to political figures or roles.
1,1492,0.781762538,occurrences of the word 'how'.
1,472,0.655837624,"occurrences of the word ""Trip""."
1,1433,0.365476628,"compound words or two-word phrases, often related to locations or organization names."
1,1769,0.536841025, words and phrases related to gaming strategies and abilities.
1,1847,0.718170735,"professional titles and abbreviations, particularly related to ""Dr."" and ""ist""."
1,838,0.726639512,instances of the word fragment 'Aud'.
1,919,0.65319614, Canadian city names.
1,123,0.723977822,words related to heating and temperature.
1,478,0.53687167, words related to changing or altering a state or position.
2,1660,0.399111977,words related to religious activities and spiritual practices.
2,99,0.647626308, words and phrases related to overlapping and flipping.
2,1737,0.361378049,"words ending in 'ing' or 'ested', often within the context of actions or processes."
2,1818,0.717419554, words related to checking or inspecting something.
2,124,0.404794035, names or abbreviations related to places or people.
2,204,0.529396438, words related to regulatory and official entities.
2,1104,0.801420297,"instances of the word ""borrow"" and related context."
2,70,0.848519978," the word ""somehow"" and words associated with collaboration or team efforts."
2,1625,0.733525998," words related to individual units, objects, or singular instances."
2,1368,0.758089144," occurrences of the word ""Baker"" and related word forms."
2,72,0.367244509,words related to communication and interactions.
2,1892,0.363119408," words related to rules, laws, and restrictions."
2,1401,0.66540477," words related to tools, weapons, and methods."
2,1043,0.718773751, past-tense verbs related to movement or action.
2,458,0.395194626, locations and settings.
2,1600,0.803003186," geographical locations such as cities, boroughs, and streets."
2,1995,0.82076252,instances of the word 'notice' and its variations.
2,482,0.734078706, negative words or phrases.
2,1767,0.504357265,"materials, particularly focusing on leather and wood."
2,275,0.654337026, words and abbreviations related to technology and intelligence.
3,1352,0.786526015, words related to events that occurred before a specific point in time.
3,1992,0.585269675,"words related to events, specifically invitations and admission."
3,1277,0.613257649, words and phrases related to gender and relationships.
3,869,0.594460229, words related to skin protection and exposure to sunlight.
3,1886,0.722466659," words related to prohibiting, restricting or banning."
3,1675,0.777846211,words and phrases related to healthcare systems and services.
3,892,0.561812386," words related to scientific, technical, or political systems and approaches."
3,1515,0.676197398,"abbreviated suffixes ""Jr"" and ""rd"" (ordinal numbers)."
3,103,0.394007414,"technical terms related to programming, software development, and computer systems."
3,834,0.727929985," instances of the past tense verb ""had"" and words related to it."
3,1008,0.680204185,verbs related to printing actions.
3,91,0.358280502, words and phrases associated with confinement and being tightly enclosed.
3,158,0.885108671, words related to logical reasoning and argumentation.
3,702,0.547446285,terms related to animals and their states or conditions.
3,1530,0.515005959, words related to policy or social issues.
3,1643,0.507583445,"words associated with starting or creating something, particularly in games or activities."
3,1780,0.554352916, words related to power or authority.
3,1514,0.403436078,"words related to events or situations that are developing, changing, or unfolding."
3,336,0.446765125,words related to diplomatic positions.
3,634,0.90632848," words related to coverage, as well as types and instances of coverage."
4,1202,0.740634217, the letter 'o' as a separate character or as part of numerals.
4,1078,0.35553233,nouns associated with protagonist roles or key participants.
4,1195,0.522863256, personal life events and relationships.
4,1026,0.405484831," combinations of words related to specialized subjects, such as scientific terminology, politics and economic terms."
4,1969,0.365336585, expressions of apology or reminders.
4,1087,0.35779001, words and phrases related to positions of authority and responsibility.
