,layer,neuron,Original,Summary,Highlight,HighlightSummary,AVHS
0,1,2447,"instances of the word ""witnessed"".",verbs or phrases related to observing or seeing something happening.,words related to observing or witnessing events or actions.,verbs related to observing or experiencing events.,"occurrences of the word ""witnessed"" in texts."
1,1,3125,words related to computer programming and rendering.,tokens related to the action of rendering or presenting something.,"the word ""render"" in various contexts, such as computer programming, writing, and expressing an idea or concept.","tokens related to the action of generating or producing something, such as rendering or creating.","keywords related to rendering or creating something, particularly in a technical or creative context."
2,1,5011,words or phrases related to physical reactions or symptoms related to stress or medical conditions.,words related to respiration or breathing.,"words and phrases related to physical sensations and bodily functions such as breathing, sweating, and sensation in specific body parts (forehead).",words related to respiration and physical bodily sensations.,words related to respiratory activity or breathing.
3,1,5151,references to file extensions and programming-related terms.,references or mentions of file extensions or the concept of extending something.,words related to file formats or extensions.,words related to file extensions or plugin functionalities in software development.,"file types or formats, specifically the "".esp"" and "".esm"" file extensions."
4,2,360,words related to participation or engagement in some activity or situation.,words related to participation or engagement in activities or situations.,words related to being engaged or participating in something.,words related to participation or engagement in activities or situations.,words related to participation or inclusion in a certain activity or situation.
5,2,4358,words related to secrecy or hidden information.,adverbs related to the persistence or continuation of a state or action.,words related to continuation or persistence of something.,words related to persistence or continued existence.,words related to continuity or persistence.
6,3,3943,adjectives or verbs related to longevity or continuous action.,words related to continuity or duration.,words related to duration or continuation.,words related to the duration or continuance of something.,words related to long durations or continuous actions.
7,1,395,"the word ""once"".",instances or occurrences.,the occurrence of words or phrases indicating a single instance or occurrence of something.,"occurrences of the word ""once"" in various contexts.",adverbs indicating a single occurrence or occurrence in the past.
8,1,2707,"terms related to legal actions and governmental practices, particularly seizure and forfeiture.","words related to legal actions and authorities such as forfeiture, seizure, prosecuting, rules, and law enforcement.","words related to legal actions or events, such as forfeiture, seizure, rules, foreclosures, legislation, and control.","words related to legal matters, specifically asset forfeiture, seizure, and law enforcement actions.","tokens related to legal terms, such as ""stringent,"" ""forfeiture,"" ""seized,"" ""enforcement,"" ""banks,"" ""seize,"" ""rules,"" and ""seizure."""
9,1,3039,words related to establishing a basis or foundation.,"instances of the word ""based"" in the context of establishing criteria, determining resources, setting up services or systems, formulating plans, and selecting options.",words or phrases related to a basis or foundation for something.,"words or phrases related to establishing or determining something as a foundation or reference point, such as ""base"" or ""based on"".",words related to the concept of basing something on a specific criteria or foundation.
10,1,5668,words or phrases related to isolation or being isolated.,"words or phrases related to being alone, separated, or disconnected from others.",words related to being alone or separated from others.,"words related to being alone, separated, or detached from others or a group.","words related to being alone or separate, or the idea of being isolated."
11,4,552,"words related to editing, modifications, or changes made to text or content.",words related to editing or making changes to a document or text.,words or phrases related to making edits or changes to a document or content.,references to the action of editing or making changes to something.,words or phrases related to editing or modifying text.
12,6,6293,past tense verbs ending in 'ed'.,"words or parts of words that contain the sequence ""lled"".","words or parts of words ending in ""-ll"" and ""-led"".","words with the suffix ""lled"".","words with the suffix ""-lled"" or similar phonetic patterns."
13,8,3973,"adjectives related to looseness or lack of strictness, both in behavior and physical attributes.","words related to looseness, acceptance, and letting go.","words related to looseness or lack of constraint, both in a literal and metaphorical sense.","words related to flexibility, acceptance, and changes in behavior or situation.","words related to flexibility or looseness, both in terms of physical and metaphorical sense."
14,0,3481,information related to business competition and suppliers.,words related to competition and rivalries.,"words related to competition and comparison, such as ""customers,"" ""competitors,"" and ""rivals.""","terms related to competition and comparison, particularly in the context of businesses or industries.",words related to business competition and comparison.
15,1,251,mentions of political scandals or controversial affairs.,words related to personal scandals and extramarital affairs.,references to personal scandals or controversial relationships.,references to personal scandals or controversial relationships.,terms related to scandals or controversies involving illicit relationships or affairs.
16,1,1796,words related to homelessness or displacement.,words ending in 'eless'.,"words related to absence or lack of something, such as ""engineless,"" ""nameless,"" ""faceless,"" ""homeless,"" and ""lifeless.""",words ending in 'eless' or 'less'.,words related to the lack or absence of something.
17,1,2026,"pronouns ""they"" and ""their"".","pronouns, specifically the word ""they"".","references to groups of individuals or entities using pronouns like ""they,"" ""we,"" or ""their.""",pronouns referring to a group or entity mentioned in the text.,"pronouns (such as ""they"", ""their"", ""them"") referring to a specific group or entity."
18,1,3205,"words related to acknowledgement or recognition, particularly when used in references or gestures towards something/someone.","mentions or references to a gesture of acknowledgment or recognition, often in the form of a nod, or a majority or consensus agreement.",words or phrases related to acknowledging or referencing something.,"expressions or references to acknowledgements, acknowledgments, or recognition.",the word 'nod' and other tokens related to acknowledgement or recognition.
19,1,3659,words related to suggestions or opinions.,"the word ""should"" in various contexts.","modal verbs suggesting obligation or recommendation, such as ""should""",words related to suggestions or recommendations.,"the word ""should"" in different contexts and expressions."
20,2,629,words related to invisibility or hidden objects.,words related to invisibility or things that cannot be seen.,adjectives and descriptions related to invisibility or things that cannot be seen.,words related to invisibility or hidden state.,instances or references to something being invisible.
21,2,2144,"words related to recovery, specifically related to recovering from injuries or damages.",words related to the process of recovering or retrieving something that was lost or damaged.,"terms related to the process of recovering something, such as recovering from an injury, recovering lost data, or recovering an aircraft.","words related to the process of recovering or restoring something, such as recovering from an injury, recovering lost data, or recovering a crashed aircraft.","words related to the process of recovering something, particularly in the context of injury, damages, or lost data."
22,2,4606,"instances where the word ""again"" is used.",instances of text repetitions or recurring events.,"the use of the word ""again"" in sentences.",instances of repetition or recurrence.,"instances of the word ""again"" occurring in the text."
23,3,1287,"words related to visual descriptions, such as colors, patterns, and physical surroundings.","words related to the concept of surrounding or being surrounded, such as ""surrounded"", ""border"", and ""backing"".","words related to spatial relationships, such as ""surrounding"" or ""enclosed by.""","words related to the surrounding or enclosing of objects or spaces, as well as indicating support or backing for something/someone.",words related to surrounding or being surrounded by something.
24,4,1514,news or current event topics related to politics or government actions.,"words and phrases related to time, specifically morning or early events or activities that occur during the morning.","phrases related to time, specifically indicating moments or periods of the day.","words related to time of day, specifically morning, and action-related terms like flash and rush.","words related to time, specifically morning."
25,5,3722,words related to challenging or questioning something or someone.,terms related to questioning or disputing something.,instances where something or someone is being questioned or disputed.,"words related to questioning or confronting ideas, beliefs, or statements.","instances of words related to questioning, confronting or resisting something."
26,6,1382,words related to future or futuristic concepts.,words related to future events or plans.,words or phrases related to future or upcoming events/possibilities.,references to future events or possibilities.,words related to future events or plans.
27,8,123,"words related to retreats or quiet nature locations, energy efficiency and economic growth, and Kurdish independence.","words related to separation, independence, and distinctiveness.",words related to separation or distinction.,"words related to separation, distinction, or individuality.","words related to separation, retreat, trajectory, and independence."
28,0,2439,sentences ending with periods.,"sentence endings, specifically the period (.) punctuation mark.",sentences that end with punctuation marks.,"punctuation marks, specifically periods (.).",sentences ending with periods/full stops.
29,1,2428,"words and phrases related to rules, regulations, and demands.","words related to requests, requirements, or expectations.","words related to requests, requirements, or expectations.","words related to requests, requirements, and expressions of need.","words related to requirements, requests, and expectations."
30,1,3035,"instances where the word ""now"" is mentioned.","the token ""now"" in various contexts and sentences.","instances where the word ""now"" is used in the text.","the occurrence of the word ""now"" in the text excerpts.","instances of the word ""now"" in a sentence."
31,1,3296,ampersand (&) symbols.,"the symbol ""&"" frequently used in text.","references to different organizations and entities including names of people, companies, and groups.","the symbol ""&"" used to represent a conjunction or partnership between entities.","instances of the symbol ""&"" used for conjunction or joining multiple entities together."
32,1,4620,"words related to the concept of ""ization"" or ""ization"" with varying intensities.","words ending in ""-ization"" which often relate to processes or concepts of fragmentation, division, and categorization.","words ending in ""-ization"" or ""-izational"" that indicate processes or concepts related to fragmentation, division, or organizational structures.",words or suffixes related to the process of dividing or categorizing something.,"words related to the process or concept of the Balkanization or the act of dividing countries or communities into smaller, often conflicting parts."
33,2,405,"references to news or reports, particularly with the word ""according.""",phrases or tokens that provide information or refer to a source of information.,phrases related to citing or reporting information from a source.,phrases and words that indicate a source or attribution of information.,phrases or sentences that provide information or reports based on a source or reference.
34,2,3499,"phrases or words related to price and trading strategies, with a focus on the term ""ags"".",verb forms ending in 'ags'.,"words or phrases related to verbal communication, such as 'nags', 'gags', 'lags', and 'normalfags'.",words related to the action of nagging or gagging.,words related to expressing discomfort or restriction in various contexts.
35,2,4319,"words related to control and containment of something, possibly in the context of medical treatment or legal cases.",pronouns and possessive pronouns.,"pronouns and possessive determiners, such as ""its"", ""its"", and ""its"".",pronouns and possessive pronouns.,"possessive pronouns like 'its' and reflexive pronouns like 'itself', indicating a focus on ownership or self-referential actions."
36,2,4734,words related to game design and performance in the entertainment industry.,"references to a specific person or entity named ""Pal.""","proper nouns or names, especially those with a recurring pattern such as names ending in '-ffy' or including the term 'Pal'.","words related to names, titles, and labels, including references to specific names or titles such as ""Pal.""","terms related to names, particularly names with ""Pal"" and words related to design or themes."
37,2,6350,"words related to location and place names in Connecticut, specifically Greenwich and Hartford.","mentions of locations, specifically places related to the state of Connecticut (e.g., Greenwich, Hartford).","references to specific locations, particularly cities or states.","locations or places, particularly related to the state of Connecticut.","places and locations, specifically focusing on cities and states."
38,3,4736,words or phrases related to cheating or dishonesty.,instances of cheating or actions related to cheating.,"words or phrases related to dishonesty or actions that violate rules or expectations, such as ""cheating.""","words or phrases related to dishonest behavior, specifically cheating.","words related to dishonesty or breaking rules, especially in the context of deception or cheating."
39,4,2560,phrases related to confinement or limitation.,words related to confinement and limitation.,"words related to restriction, limitation, or confinement.",words related to restrictions or limitations.,words related to restriction or limitation.
40,4,6196,words related to making decisions or choices.,words related to making decisions or determinations.,tokens related to making decisions or choices.,verbs related to making decisions or choices.,verbs related to making decisions or choices.
41,8,2598,words related to locations or specific places.,"words or phrases related to the midpoint or middle portion of a process, distance, or time.",words and phrases related to a point or location that is halfway through something.,words related to the midpoint or halfway point of a process or journey.,words related to the middle or midpoint of something.
42,0,6225,"words related to artificial things, particularly artificial intelligence.","mentions of the term ""artificial"" in various contexts, such as artificial islands, artificial intelligence, and artificial demand.",terms related to artificial or man-made objects or concepts.,"words related to artificial or man-made things, especially in the context of technology or construction.",words related to artificial entities or constructions.
43,1,640,words related to confrontation or challenging situations.,words related to confrontation or being faced with a problem or challenge.,words related to conflict or confrontation.,words related to facing or dealing with challenges or conflicts.,words related to facing or being in a confrontational situation.
44,1,1853,phrases related to potential harm or danger.,"words related to danger, harm, and death.","words related to danger, harm, or death.",words related to mortality or death.,"words related to harmful, dangerous, or potentially deadly situations or conditions."
45,1,3602,words related to physical and mental exhaustion or tiredness.,"words related to tiredness, exhaustion, and weariness.",words related to physical or mental tiredness or exhaustion.,words related to physical and mental exhaustion or tiredness.,words related to physical or mental tiredness and exhaustion.
46,1,4750,words related to crafting and assembling things firmly and tightly.,adverbs that describe the manner in which something is done.,phrases or tokens related to firmness or stability.,adverbs related to firmness or stability.,words related to firmness or stability.
47,1,5333,"words related to exceptional performance or achievements, such as ""outstanding"" and ""gold"".",tokens related to exceptional performance or achievement.,adjectives related to excellence or high quality.,words or phrases related to exceptional performance or achievement.,adjectives that describe exceptional or impressive qualities or achievements.
48,1,5428,words related to legal matters and custody issues.,"occurrences of the token ""jar"" in various contexts.","references to containers or objects used for holding or storing things, such as jars or keychains.",references to containers or objects with jars or jar-like shapes.,"the word ""jar"" or words related to containers."
49,2,2499,adjectives related to intensity or significance.,adjectives that describe intense or significant events or situations.,adjectives related to intensity or impact.,words related to intense or significant events or situations.,adjectives describing intense or impactful situations.
50,2,4183,statistics or numerical values mentioned in the text.,"words or phrases related to data, statistics, or measurements.","words related to numbers, statistics, and data.","tokens related to statistics, numbers, and measurements.",mentions of sports or financial terms.
51,2,5980,"mentions of clothing items, specifically shirts.","references or mentions of clothing items, specifically shirts.","mentions of clothing items, specifically T-shirts.","words or phrases related to clothing, particularly shirts.","mentions of clothing items, particularly shirts."
52,5,1038,words related to injuries or physical trauma.,words ending in 'atic'.,"words related to medical conditions, such as injuries, levels, and terminology.","words ending in ""-atic"" or ""-atics"".",words ending in 'atic'.
53,6,759,mentions or references to movie scripts.,words related to scripts or screenplay.,"instances of the word ""script"" and its related terms.",references to scripts and writing related to movies or television shows.,references to scripts in the context of movies or television shows.
54,14,5228,first-person singular verbs indicating personal decision-making.,words or phrases related to making decisions or taking action.,instances where someone is making a decision or choice.,words related to decision-making and personal choices.,tokens related to making decisions or expressing personal choices.
55,0,127,"locations and addresses, specifically in the states of Mississippi (MS), North Carolina (NC), Virginia (VA), Ohio (OH), Michigan (MI), New York (NY), and Pennsylvania (PA), as well as the abbreviation GA for Georgia.",abbreviations for US states.,"locations or places, particularly with the pattern ""city, [state abbreviation]"".",abbreviations for US states.,abbreviations of US states.
56,0,4987,phrases related to equipment or technology.,"verbs related to actions or states of being, specifically actions related to equipping or being equipped with something.",verbs or phrases related to equipping or being equipped with something.,words related to equipping or being equipped with something.,tokens related to being equipped or having specific features or capabilities.
57,1,2068,punctuation marks such as parentheses and period.,closing parentheses ')' at the end of phrases or sentences.,"parentheses or brackets, typically used for additional information or explanations.","closing parentheses "")"" in various contexts.",closing parentheses ')' in text excerpts.
58,1,2527,phrases related to pre-ordering products.,words related to ordering or pre-ordering products or services.,words or phrases related to ordering or pre-ordering products or services.,words related to ordering or purchasing products or services.,words related to ordering or purchasing products or services.
59,1,2680,references to tags or labels.,"references to tags or labeling, often in the context of technology, communication, or categorization.","instances of words or phrases that are commonly used as labels or markers, such as ""tag,"" ""label,"" or ""hashtag.""","terms related to labeling, tagging, or marking.",tags or labels in text.
60,1,3772,words or phrases related to physical attachments or connections.,"words related to connections, links, or joining of objects or entities.",words related to objects or body parts being connected or attached to something else.,"words related to physical connection, attachment, and joining.","words related to connections, joining, and linking."
61,1,4424,references to volunteering or volunteer opportunities.,words related to volunteering or being a volunteer.,words or phrases related to volunteering or being a volunteer.,phrases related to volunteering or being a volunteer.,mentions or discussions related to volunteering and volunteers.
