Puzzle id,GT Explanation,Original,Summary,Highlight,HighlightSummary,AVHS
1:seed1,words related to colors and nothing else,colors and color-related terms.,colors and color-related words.,words related to colors and sensory experiences.,colors and color-related terms.,colors and color-related words.
1:seed2,words related to colors and nothing else,colors.,"colors and color-related terms such as ""green"", ""yellow"", ""red"", ""black"", ""bright"", ""-dark"", ""orange"", ""purple"", ""turquoise"", and ""blue-green"".","words related to colors, particularly descriptive color terms.",words related to colors.,colors and color-related terms.
1:seed3,words related to colors and nothing else,colors and color-related descriptors.,words related to colors.,colors and descriptions related to colors.,words related to colors.,colors or color-related terms.
2:seed1,"the name of the second named character introduced in the passage, excluding the narrator","names of characters (specifically, female names) that appear multiple times in the text.",names of characters.,names of characters or individuals.,"names of people, particularly ones that are repeated.",names of characters or individuals.
2:seed2,"the name of the second named character introduced in the passage, excluding the narrator",names of characters or people.,repeated names of characters.,names of characters or individuals mentioned in the text.,names of characters or individuals mentioned in the text excerpts.,proper names/names of characters.
2:seed3,"the name of the second named character introduced in the passage, excluding the narrator",names of characters or people.,names of characters in the text excerpts.,proper names or names of characters in a story.,names of characters/people.,names of characters in a story.
3:seed1,phrases that are similes and nothing else,comparisons using similes or metaphors.,"similes and comparisons using the word ""like"" or ""as"".",similes or comparisons using 'like' or 'as'.,"similes or comparisons using ""like"" or ""as"".","similes or comparisons using the word ""like"" to describe something."
3:seed2,phrases that are similes and nothing else,comparisons using similes to describe something or someone.,similes or comparative expressions.,"similes or comparisons using ""like"" or ""as"".","similes and comparisons used to describe similarities or characteristics of people, objects, or experiences.","similes and comparisons using the word ""like"" to describe similarities between different objects or experiences."
3:seed3,phrases that are similes and nothing else,"comparisons using similes, particularly ones involving physical attributes or actions.","comparisons using ""like"" or ""as"" to describe similarities between different entities or objects.",comparisons using similes or metaphors.,"similes and comparisons that use the word ""like"" to compare two entities or characteristics.","similes and comparisons using the word ""like"" or ""as""."
4:seed1,the substitution of a key word in a common idiom that isn't the usual choice for that idiom,words related to idiomatic expressions or figurative language that involve alternative meanings or interpretations.,words related to idioms or figures of speech involving plants or food.,"idiomatic expressions or phrases related to advice, caution, or communication.","idiomatic expressions or phrases related to plants, gardening, or natural elements.","idiomatic phrases and expressions related to plants, food, and objects in the natural environment."
