Layer,Neuron,Original,Summary,Highlight,HighlightSummary,AVHS
0,426,words and phrases related to denial or rejection.,"negative contractions and the prefix ""un"" signaling negation or reversal.",words starting with 'un' prefix.,instances of negation or contradiction.,"words consisting of negative prefixes such as 'un-' and 'non-', and contractions of negation such as ""don't""."
0,722,keywords related to technology and electronic components.,tokens related to tech and mechanical equipment or parts.,words related to hardware components and technical instructions.,terms related to electronics and punctuation marks.,pieces of technical language related to electronics and coding.
0,836,partial words that are typically part of longer names or identifiers.,tokens that are part of proper nouns or names.,parts of proper nouns or last names.,parts of proper nouns or names.," portions of proper nouns, specifically names."
0,1075,words or phrases indicating uncertainty or conditionality.,"words related to doubt, uncertainty, or assumptions.",words denoting uncertainty or doubt.,"words and phrases related to a condition or stipulation.
","words representing a concept of conditionality, represented specifically through the word 'necessarily'."
0,1290,"elements related to coding (especially in square brackets), humor, and comedy in the text.",words or symbols associated with array formatting in programming and links in digital content.," instances of programming languages, film references, and comedic performances.",syntax symbols and comedy related words.,words and symbols commonly seen in programming and humor-related words.
1,20,"mentions of specific names, particularly those starting with 'L' and 'H'.",mentions of specific personal names.,"references to names, specifically 'Leo' and 'Huey'.","proper names, specifically those which are first names.","names of individuals, mostly focusing on Leo and Hue."
1,281,technical terms and coding elements.,words or parts of words related to computer programming or technical instructions.,parts of words related to computer programming or coding., tokens related to coding and programming language., parts of technical terms often used in coding or digital technology.
1,532,the name 'Jesse'.,"instances of the proper name ""Jesse.""","instances of the name ""Jesse"".","instances of the name ""Jesse"".","references to the name ""Jesse""."
1,925,"geographical locations, particularly names of cities and countries.",geographical locations and conjunctions.,"elements of listing, particularly with geographic and team names, and commercial categorization.",parts of geographical names and conjunctions.,"the names of sports and games teams, as well as prepositions."
1,1501, specialized terminology and language specific to certain fields or groups.," specialized language or jargon, and expressions of strong beliefs or passion."," special terms or phrases that are specific to a certain profession, community, or belief system.","specialized words or phrases specific to certain professional or social groups, often referred to as jargon or colloquial language.","words and phrases related to specialized language, including terms, jargon, euphemisms, and sarcasm."
2,139,terms related to computer programming and coding.,"technical terms in the context of coding, gaming, and financial management.","the term ""buffer"" across various contexts, ranging from programming to game strategies and fiscal/management policies.",technical terms related to software development and management.,words related to software programming or coding.
2,251,"words related to structural, procedural or legal changes.","tokens related to changes, reforms, and improvements in various contexts.",words and phrases that indicate changes or transformations.,tokens related to political measures or changes.,"words related to changes, modifications, or enhancements."
2,461,words and phrases related to peace and tranquility.,"words associated with conflict resolution, peace, sanity, and heroism.",adjectives describing abstract concepts or states.,"words associated with peace, sanity, recovery, and heroic actions.","words related to peace, sanity, stability, civilization, and heroism."
2,593,terms related to responsibility and accountability in different contexts.,terms related to authority and responsibility.,"words related to authority, responsibility, and success in various contexts.","words related to authority, responsibility, and success.","words related to responsibility, authority, and success in a professional or organizational context."
2,644," words that end with ""las"" or ""pus"".",Latin-derived words or terms.,Latin-derived words.,Latin words or parts of words.,"words ending in ""las"" or ""pus""."
3,186, words associated with processes or actions., words related to actions or processes., words related to technology and digital environment.,portions of words that end with 'ase'.,multi-characteristic word endings.
3,323,terms and phrases related to video gaming and interaction within games.,"terms related to video games, their elements and glitches."," elements related to gaming such as descriptions of in-game locations, objects, and actions.","sequences from gaming articles and discussions, especially those related to in-game elements, systems, mechanics, and glitches.",phrases related to video game mechanics and their descriptions.
3,1181,"words related to conflict, particularly military invasions.","words related to invasion, conflict and control.", words related to military conflict and invasion., words related to historical conflicts and interventions., words associated with military and historical conflicts.
3,1261,words related to religious or spiritual roles and institutions.,words and phrases related to religious and spiritual contexts.,references related to religious roles or institutions.,words and phrases related to religious and spiritual activities or roles.,"words related to religious figures, practices, and organizations."
3,1337,references to arts and spirit-related terms.,words related to arts and creativity.,"instances of the word ""arts"" and its context.",words related to arts and artistic expressions.,words related to the arts and creativity.
4,544,male first names.,male first names.," personal names, specifically ""Luc,"" ""Louis,"" and ""James"".","names, particularly male first names.","names, both first and last."
4,751,brand names and terms related to business and retail.,brand names and associated words.,references to specific brand names or companies.,"references to business and corporations, often marked by the use of quoted language or colons.","business-related terms and context, focusing on names of companies or brands, business activities, and dialogue related to these contexts."
4,869,verbs that end with 'lved' or 'iled'.,"words that contain ""olve"" or ""ail"".","variations of verbs that end in ""olve"" and ""ailed"".","words ending in 'led' and 'ove', as well as specific symbols like brackets and curly braces.",verbs ending in 'iled' or 'olved'.
4,1049,words related to storage and location.,words related to storage and elements of infrastructure.," terms related to storage, capacity, and infrastructure systems.","words related to storage, building, and the use of specific technologies or methods.","terms related to storage, construction, and processes, with a prominence on 'grid'."
4,1439,mentions of surfaces and related characteristics.,words related to surfaces or physical exterior attributes.,terms related to physical properties or characteristics of objects or materials.,"words related to physical attributes or properties of objects, specifically those involving material surfaces or texture.",terms related to physical surfaces or exterior features.
5,166,specific tech-related terminology and compound words ending in 'ing'.,"terms related to coding, programming languages, and game development.",technical terms related to computer programming and coding languages.,"technical or specialized terminology, from both programming and gaming contexts.",technical terms related to computer programming and gaming.
5,1058,action or command words associated with digital interaction or programming.,technical or specialized language and terms., words associated with communication or instructions.,"terms and phrases that are usually used in digital and online contexts, such as in coding, social media, and online interactions.","language indicating direction or instruction regarding a process, or words related to programming and gaming."
5,1172,words related to processes and steps in a particular activity or creation.,"terms or words related to technology, computing, or complex mechanics/processes."," technical terms within various professional contexts (software, customer support, politics, biology, and craft).","technical terms related to different fields such as software, security, psychology and textiles.",words related to processes or actions.
5,1537, phrases with numerical and statistical informations.,parts of verbs ending in 'ing'.,abbreviated or capital letter words or terms.,the suffixes of words.,"tokens indicating numerical data and punctuations used in formal, structured texts."
5,1759,"specific terms related to relationships, fashion items, and religious references.","tokens related to possessive relationships, footwear, religious figures and places.",nouns related to personal relationships and religious entities or objects.,"terms related to relationships, religious words, and footwear items.","specific nouns, particularly focusing on persons and places."
6,59,"nouns that are related to specific processes, activities, or people.","proper nouns such as names of people, places or certain concepts.","words related to actions or processes, particularly in technical or problem-solving contexts.",nouns often used in programming and technical contexts as well as proper nouns., specific names or terms that are key to the context of the excerpt.
6,214,phrases related to health solutions and business services.,words and phrases associated with calls to action or motivation.,"words and phrases related to proactive efforts, solutions, and changes.",words and symbols related to declarations or strong expressions., phrases related to problem-solving or solution providing in a business context.
6,846,"words and phrases relevant to acquisition processes, such as recruitment, signing contracts, and summoning.",terms and phrases related to games and player actions.,"terms related to gaming and sports, especially those concerning player's status or actions.",words and phrases associated with gaming and sports terminologies.,"words and phrases related to gaming, especially those associated with character names, actions, and attributes."
6,1276,"proper nouns, particularly names of places and organizations.",proper nouns or specific locations.,"proper nouns, specifically place and personal names.",geographic locations and proper nouns.,"prepositions followed by a noun, particularly locations or structural entities."
6,2007,"proper names and titles, including both people and locations.",personal names and titles.,"abbreviations and short forms of names, particularly those in brackets.",parts of personal names.,names and numbers.
7,575,This neuron doesn't seem to activate for any specific words or phrases in the given examples.,words indicating an action prompt or providing additional related information.,"indications of actions or expected reader responses, particularly subscriptions, sign-ups, or adding interests.","words signifying instructions or cues, often leading to an action or further information.","The neuron does not appear to activate for any tokens, indicating that it does not discern any significant feature in the given text excerpts."
7,817,numeric specifications related to measurements or product details.,numbers and units of measurement.,"numbers, measurements, and units of measurement.",abbreviations and/or units of measure.,part of technical terms or units of measurement.
7,976, phrases related to formal or political language.,"the token ""such"" often used in formal, expository, or argumentative contexts.","the term ""as such"" used in context to draw a conclusion or inference from a previously stated fact or assertion.","the word ""such"" used as a conjunction to indicate an example or result.","the word ""such"" and personal pronouns in the text."
7,1158,names or parts of names.,tokens that are part of people's names.,partial or whole names of people.,last names or titles of people.," parts of personal names, particularly surnames."
7,1277,"words and figures related to ratings and evaluations, along with the descriptors such as ""old"" and ""rare"".","specific technical terms or numbers generally used in the context of sports, biology, or games.",tokens occurring within brackets or slashes.,"words related to nature such as landscapes, wildlife, colors, and numerical data.","words related to classifications, such as colors, values, and statuses."
8,374,words and phrases related to advice and guidance.," specific references, such as numerical, character or promotional codes, and specific resourceful words.",specific nouns or noun phrases that carry significant meaning in their contexts.,"various types of identifiers such as names, numbers, abbreviations, or specialized terms.","tokens pertaining to professional advice or tips, and motivational anecdotes."
8,1380,the syllable 'ri' in words.,"""ri"" sequence in words, regardless of the context."," words that have a syllable that ends with the sound ""ri"".",the syllables 'ri' and 'com' in words.,the syllable 'ri' in the context of various words.
8,2298,mentions of the word 'survey' and related terms such as 'questions' and 'caches'.,references to surveys or data collection methods.,words associated with surveys or forms of data collection.,"terms related to data collection methodologies like 'survey', 'caches', and 'questions'.","words associated with data collection methods or tools, specifically 'survey' and 'caches'."
8,2432,"years, laughter or humor-related words, and indication of multiple entities or items.",tokens funny responses or specific years.,numbers or data-related terms., instances of humor and numerical data.,"elements indicating humor or laughter, and numerical data or years."
8,3174,references to important dates and professional roles.,"ordinal numbers, specifically those related to dates, and positions or roles in a profession or organization.","ordinal numbers, typically indicating dates or positions.","words or phrases related to formal roles, claims, and specific dates or anniversaries.","words and phrases relating to titles, roles, and special occasions."
9,137,verbs in present tense.,auxiliary verbs used in sentences.,plural pronouns followed by auxiliary verbs.,verbs used in the presence tense.,"forms of the verb ""to be""."
9,596,words or acronyms related to professional titles or designations.,abbreviations or part of words that could be abbreviations.,parts of proper names or brand names.,"parts of names, either of people or brands/companies.",parts of proper nouns or names.
9,925,words related to physical actions or movements.,"words related to games, particularly those involving combat, strategy, and objectives.",terms related to elements of gaming and gameplay.,nouns or parts of nouns that denote objects or physical elements.,nouns related to gaming or sports.
9,1205,words and phrases related to active engagement or involvement.,"words associated with structure, responsibility, and order.",words related to structured systems and institutions.,"tokens that are parts of words related to operational, action-oriented, or achievement terms.","words and phrases related to organizational participation, collaboration, and accomplishment."
9,1551,words related to coverings or coatings.,parts of words related to written materials or communication.,parts of compound nouns.,parts of words that are related to various forms of physical activities or objects.," words ending in 'ie', 'ose', 'cover', 'talk', 'back'."
10,93,words related to action or profession.,part of words that are suffixes denoting a person or a category.,specific profession or role-related terms or identifiers.,parts of words that indicate a role or an action.,any form of possessiveness or words indicating ownership.
10,265,symbols and numerals related to transactions or technical aspects.,directional cues and transitions in text.," instances of transition or change, indicated by directional symbols or transactional language.",tokens signifying a transition or change.,"symbols and markers used to show progression, direction, or denote specific categories in the text."
10,320,nouns related to control or ownership of objects or concepts.,"specialized terms from various domains, including finance, biology, accessibility, and politics.","words related to collections, assets or aggregations.",words that indicate a subject of discussion or focus in a given context.,"nouns related to systems, processes or collections."
10,1218,"locations and specific names, particularly related to sports and scientific terminology.","tokens that are names of leagues, organizations, or complex technical terms.",keywords related to categories or classification.,words indicating classification or categorization.,"prepositions or conjunctions followed immediately by capitalized words, or the latter half of compound words."
10,1399,punctuation marks and symbols.,punctuation marks and special characters.," special characters often used in lists, annotations, or web URLs.",special punctuation characters used in text excerpts., punctuation and special characters.
11,182,"use of ellipses, short statements or phrases, and active verbs.",ellipsis (...) in the text.,ellipses and segmented/repetitive structures in the text.,repetition or repeated tokens and ellipsis (...) indicating pause or continuation.,"tokens related to action or process instructions, and words and phrases indicating a process or a sequence of events."
11,721,"words or suffixes with the letter ""x"".",tokens that are related to dismissal or negation.,"informal language, including slang terms, contractions, and profanity.",tokens that are part of words expressing dismissal or negation.,the ending parts of words.
11,1152,names and dates.,tokens that are individual letters or very short parts of words.,"parts of specialized or proper names, whether they be individual, brand, or location names.",tokens that are the endings of words.,words or parts of words related to names or labels.
11,1260,words indicating changes in position or state.,words that are associated with legal or proprietary terms and relationships.,words that include names of people or items.,words related to the act of falling or observing something.,portions of compound words or phrases.
