Layer,Neuron,Original,Summary,Highlight,HighlightSummary,AVHS
0,3481,"words related to demands, obligations, and regrets."," words related to requests, requirements, and expectations.","words related to requests, requirements, and obligations.","words related to requests, requirements, and expressions of necessity.","words related to requests, requirements, and negotiations."
0,562,sentence-ending punctuation marks.,"punctuation marks, especially periods.",phrases that indicate a continuation or additional information.,sentences or phrases that end with a period (full stop).,sentence endings or punctuation marks.
0,2439,"certain punctuation marks and symbols, such as parentheses and periods.","closing parentheses "")"" in various contexts and sentences.","closing brackets ""]"" in the text.","closing punctuation marks, specifically closing parentheses.",closing parentheses ')'.
0,6225,phrases related to negative or critical statements.,"sentences or phrases that contain the word ""not"".",phrases or words related to negation or denial.,"the word ""not"" in different contexts.","negations or instances where the word ""not"" is present."
0,127,words related to political or social atmospheres.,words related to the environment or surroundings in various contexts.,words or phrases related to the environment or surrounding conditions.,words related to the environment or surroundings.,words related to the environment or surroundings.
0,1698,"words related to navigating or searching for information or directions, particularly involving the word ""down"".","instances where the word ""down"" is used to indicate a direction or action.","words related to directions or spatial movement, such as 'down' or 'zoom in'.",words or phrases related to direction or movement towards a lower position or state.,"words related to movement and direction, specifically the word ""down""."
0,4987,names or terms related to individuals or companies.,words related to the action of creating or causing something.,words related to causality or creation.,"verbs related to creating, producing, or causing something.",words related to making or creating something.
0,3928,"words related to the head, such as discussions or actions involving the head.","words related to the concept of leadership or a prominent position within a group or organization, often referred to as ""head"".",words related to leadership positions or someone being in charge.,"words related to leadership or authority positions, particularly those related to being in charge or at the forefront of something.","words related to the position of ""head"" and the word ""before""."
0,3986,"words related to the concept of ""first"".","occurrences of the word ""first"" in various contexts, including first battles, steps in a recipe, first nations, first-print run copies, and the first angel.","the word ""first"" occurring within a specific context or sequence, such as first battles, first off, first nations, or first-print run copies.","the ordinal numbers ""first"" and ""first"" occurrences in a sequence.","occurrences of the word ""first"" and related terms, such as ""step"", ""thought"", and ""itor""."
0,5043,references to pockets as a physical object or metaphorical concept.,"words related to storage or containment, such as pockets or bags.",words or phrases related to storage compartments or compartments in general.,"words related to storage spaces or compartments, such as pockets, bags, and pouches.","references to storage compartments or spaces, such as pockets or bags."
0,1239,"words related to India, including political parties, individuals, and cultural practices.","mentions and references to the country ""India"".","mentions of the country ""India"".","references to the country ""India"" and related terms such as intensify, starve, Indian, and Raj.","references to the country ""India"" and related terms such as ""parties,"" ""intensify,"" ""disappointed,"" ""driver,"" and ""starve."""
0,1302,instances where information or rumors are being spread.,words related to the dissemination or spreading of information or ideas.,words related to the action of spreading information or content.,"words related to the dissemination or propagation of information, ideas, or beliefs, particularly when it involves negative or controversial content.",words related to the dissemination or spread of information or content.
0,1746,"mentions of the word ""on"" in various contexts.","instances where the word ""on"" is used, potentially indicating a connection, mention, or location.","phrases or tokens that indicate a position, location, or being situated on or at something.","the word ""on"".","instances where the word ""on"" is used as a reference to location or position."
0,5126,parentheses.,parentheses used in the text.,parentheses or bracketed expressions.,parentheses or brackets in text.,parentheses in text.
0,5653,"words related to connections, relationships, and associations.",words related to connections or relationships between things.,words or phrases that indicate a connection or association between things.,"words/expressions related to connections, relationships, or associations.","words that are related to connections, relationships, or associations with something else."
0,945,words related to historical information or events.,"past tense forms of the verb ""be"" (was).",instances of past tense verbs ending in 'ed'.,"past tense forms of the verb ""be"".","past tense forms of the verb ""be"" (such as ""was"" and ""is"") and words related to updates and changes."
0,128,"words related to medical treatments and remedies, particularly those that are perceived as ineffective or fraudulent.","words ending in ""ery"" or ""ety"", which could indicate a focus on specific types of establishments or practices, such as breweries or diets.",words ending in '-ery' or related to establishments or locations.,"words ending in ""-ery"" or ""-ety"".",words ending in 'ery'.
0,1808,"words related to instructors, training, and classes.","tokens related to instructors or teachers in various contexts, including training companies, academic courses, fitness training, swimming lessons, and dance instructors.",mentions or references to instructors or teachers in various contexts.,references to instructors or teachers in various contexts.,"terms related to instructors, trainers, and training programs."
0,1824,words related to videos or specific actions related to watching or processing videos.,references or mentions of videos.,references to videos or multimedia content.,mentions or references to videos.,instances where the text mentions or refers to videos.
0,1866,mentions or discussions of expectations.,words related to anticipation or an expected outcome.,words related to anticipation or expectation.,words related to anticipation or prediction.,phrases related to anticipation or expectation.
1,758,words or phrases related to witnessing or observing events.,words related to observing or personally experiencing an event.,instances or descriptions of someone observing or experiencing something.,verbs related to observing or seeing events or actions.,"instances of the word ""witnessed"" in various contexts."
1,2447,terms related to rendering or generating content such as code or visuals.,"words related to the process of creating or displaying something, such as rendering or being rendered.","words related to the action of displaying or presenting something, such as rendering or being rendered.","the word ""render"" or its variations, which is commonly associated with computer programming and software development.","occurrences of the word ""render"" in various contexts, such as software development, creative processes, and control."
1,4538,"words related to physical sensations or actions, specifically focusing on breathing and forehead.",words related to respiration or breathing.,"words related to physical sensations or actions, particularly those related to breathing.","words related to physical sensations and actions, particularly those involving the body.","words related to physical sensations and actions, particularly those related to breathing and the forehead."
1,3125,references to third-party extensions or modification of file extensions.,words related to file extensions and expanding or extending something.,words related to file formats and extensions.,file extensions or terms related to file formats or types.,words related to file formats or file extensions.
1,4669,"the word ""involved"".",instances where something or someone is participating or taking part in an activity or situation.,words or phrases related to participation or engagement in activities or events.,words related to participation or engagement in activities or events.,words related to participation or engagement in activities or events.
1,5011,"words related to the concept of ""still"" or continuation.",words related to continuous or ongoing states or actions.,"instances of the word ""still"" indicating persistence or continuity.","the presence of the word ""still"" to highlight continuity or persistence of a situation or condition.",words related to persistence or continuity.
1,5091,words related to durability or maintenance over time.,"words related to the concept of something being continuous, ongoing, or long-lasting, such as ""sustained"" or ""thrive in sustained combat.""",words related to continuity or lasting over a period of time.,words or phrases related to continuity or a prolonged period.,words related to prolonged or continuous duration or action.
